robot_count,task_complexity,communication_delay,swarm_density,obstacle_density,battery_level,signal_strength,formation_type,terrain_roughness,task_deadline,robot_speed,sensor_range,collision_probability,energy_efficiency,coordination_overhead,mission_success
44,1.8,41.5,4.9,12.3,12.3,-49.4,Line,9.4,196.2,2.32,18.0,0.375,0.57,29.1,0
35,7.1,320.9,3.02,14.1,52.9,-102.2,Wedge,5.3,204.1,2.69,43.2,0.349,0.93,37.2,0
26,1.6,236.0,3.65,25.4,49.8,-117.4,Circle,1.2,202.6,0.62,37.4,0.397,0.71,26.4,0
30,6.4,453.9,2.28,18.3,78.1,-38.0,Line,4.1,167.2,2.31,29.1,0.35,0.7,18.3,0
40,7.7,181.6,0.4,18.3,35.2,-39.8,Line,2.2,226.4,1.25,44.6,0.064,0.98,21.0,1
32,2.9,143.6,4.01,8.9,29.6,-100.3,Circle,4.3,20.4,1.74,5.6,0.489,0.78,27.4,0
48,8.6,250.4,0.27,25.0,33.0,-49.8,Random,6.5,287.7,1.63,20.3,0.094,0.72,37.8,0
44,1.3,228.0,3.53,5.0,37.3,-115.7,Wedge,1.2,74.4,0.71,40.7,0.175,1.01,35.6,1
24,8.6,172.2,0.21,1.6,63.9,-94.3,Grid,8.8,45.3,2.57,19.9,0.353,0.79,23.1,0
45,5.1,346.9,4.33,5.7,52.4,-63.9,Wedge,6.5,282.9,2.85,46.4,0.07,0.58,8.4,1
39,3.0,379.8,0.87,8.0,40.3,-51.3,Circle,3.7,250.8,3.07,8.5,0.085,1.18,13.9,0
21,2.2,426.5,2.62,8.5,43.7,-119.1,Grid,3.8,231.8,2.58,17.5,0.438,1.09,14.5,0
24,9.6,486.4,3.03,20.1,43.4,-90.6,Random,5.2,40.4,4.41,21.9,0.166,0.71,11.6,1
46,1.7,133.3,2.34,6.5,97.5,-100.7,Circle,3.2,244.2,0.67,34.7,0.333,1.08,29.9,1
17,2.8,358.0,1.77,20.3,31.0,-30.1,Wedge,1.0,186.6,3.26,10.6,0.429,1.46,33.4,0
43,4.1,197.1,2.39,2.7,83.6,-59.6,Line,1.2,222.3,4.4,1.5,0.487,1.46,12.8,1
9,6.6,338.5,1.63,4.4,73.7,-83.5,Circle,4.2,293.6,0.68,48.8,0.105,1.03,33.8,1
22,5.9,238.0,2.25,15.3,10.5,-113.2,Circle,2.1,66.4,2.73,45.0,0.061,0.6,29.4,1
2,2.1,496.9,1.86,27.7,99.4,-66.1,Wedge,1.2,156.3,3.15,15.7,0.37,0.96,17.6,0
9,3.6,364.5,2.87,25.8,78.1,-62.2,Random,8.7,228.5,1.36,24.7,0.094,0.53,27.9,0
30,3.1,476.2,1.27,29.1,71.4,-46.5,Wedge,3.5,135.8,1.64,25.0,0.29,0.92,30.8,0
33,2.9,417.5,4.94,19.5,46.5,-94.0,Wedge,5.5,25.8,4.04,43.6,0.266,1.41,22.4,1
39,4.7,451.5,2.55,20.3,60.0,-31.7,Random,2.6,42.3,3.05,30.3,0.28,0.97,17.7,0
6,7.3,407.2,1.05,18.8,32.8,-80.4,Random,1.4,184.6,1.92,41.5,0.325,1.05,4.1,0
48,3.0,229.6,2.44,18.7,13.2,-93.4,Circle,7.7,92.7,3.94,45.7,0.425,0.66,0.1,1
23,4.3,125.9,4.35,4.4,85.2,-88.6,Line,2.1,50.0,3.86,28.7,0.136,0.52,37.5,1
48,4.5,185.2,0.21,16.3,90.7,-73.2,Wedge,1.2,108.6,2.05,15.0,0.278,1.49,10.7,1
35,9.8,10.1,3.43,11.6,24.6,-35.7,Line,6.3,68.3,2.7,25.4,0.168,0.84,26.5,0
2,9.6,262.0,2.79,13.3,80.8,-53.8,Random,1.1,16.9,3.49,42.7,0.159,0.78,37.7,1
27,8.2,252.5,0.93,15.7,76.7,-68.1,Random,4.9,54.0,2.04,29.6,0.01,1.07,32.7,1
44,3.2,262.6,4.11,3.9,26.1,-105.3,Wedge,3.6,266.1,3.33,44.9,0.3,1.25,4.9,1
11,1.6,487.0,1.91,10.8,48.0,-106.6,Circle,3.9,13.5,1.63,44.9,0.486,0.75,32.1,0
31,3.9,455.7,1.54,1.9,48.0,-74.8,Wedge,1.0,234.4,1.81,19.3,0.381,1.02,29.1,0
19,3.4,80.9,4.16,29.4,78.4,-54.4,Circle,9.7,228.5,1.9,23.0,0.121,0.83,13.2,0
18,5.6,184.4,3.23,3.6,85.4,-52.4,Grid,5.7,173.6,4.71,34.2,0.358,0.98,27.6,1
27,8.0,212.0,4.5,7.8,18.5,-99.7,Circle,6.2,70.4,4.25,6.4,0.149,0.66,33.0,1
9,8.7,180.3,3.19,26.7,60.7,-111.0,Wedge,7.0,264.6,3.04,23.8,0.377,1.01,11.7,1
48,8.6,399.2,3.73,14.5,78.6,-85.4,Wedge,8.2,147.8,3.04,8.3,0.427,0.55,34.8,0
41,4.2,262.0,4.2,4.1,80.8,-37.4,Circle,6.5,60.2,0.75,42.5,0.167,1.34,3.2,1
50,7.2,286.0,0.37,11.5,23.3,-70.9,Line,7.9,134.4,3.42,47.2,0.001,1.13,21.1,1
13,3.8,426.5,3.9,3.5,57.3,-91.2,Circle,5.0,66.5,1.98,7.9,0.153,1.44,9.3,0
28,1.5,403.0,3.11,6.0,87.2,-90.9,Grid,4.3,119.0,3.26,33.7,0.103,1.1,29.1,1
9,7.3,66.1,0.44,1.6,38.7,-108.1,Grid,8.4,154.0,4.28,32.2,0.309,0.68,7.0,1
26,1.1,357.0,2.59,13.1,48.3,-77.4,Line,8.8,114.4,0.7,38.2,0.145,0.98,13.7,0
47,4.7,217.7,0.5,24.2,82.4,-48.8,Grid,2.2,200.5,3.23,35.1,0.018,1.16,5.1,1
5,4.0,147.3,3.71,17.6,18.0,-32.8,Wedge,5.9,281.4,3.04,11.6,0.266,0.87,32.5,0
34,7.2,25.0,2.78,18.2,87.4,-74.9,Line,7.2,111.0,1.43,15.3,0.437,1.05,5.3,1
2,7.9,243.6,4.77,6.0,38.0,-105.0,Line,1.8,113.2,3.41,9.1,0.226,0.66,28.9,0
20,3.7,177.7,1.0,10.3,10.1,-58.5,Line,9.4,224.1,3.0,46.1,0.188,1.28,28.3,0
32,8.3,125.8,3.07,25.4,31.1,-51.9,Circle,5.7,163.9,3.95,26.6,0.089,1.41,5.7,1
17,3.6,347.3,1.14,2.6,18.1,-113.5,Circle,6.8,134.4,1.0,48.8,0.194,0.81,22.6,0
15,5.0,384.7,3.11,25.7,18.3,-43.5,Line,2.6,246.0,2.5,23.0,0.165,1.29,19.9,0
49,7.5,122.4,3.64,14.5,72.4,-45.4,Grid,3.4,268.4,4.99,28.1,0.497,0.59,23.8,1
6,7.2,24.7,3.64,25.1,29.3,-77.5,Wedge,2.1,181.3,3.6,39.7,0.015,0.75,37.5,1
42,9.9,424.4,4.09,9.5,94.1,-69.6,Wedge,3.4,63.7,3.58,40.1,0.119,0.96,3.2,1
27,3.0,5.0,4.28,10.2,56.5,-55.8,Circle,5.4,145.2,1.93,12.3,0.034,0.89,32.8,1
29,7.0,468.6,0.48,22.5,51.4,-59.1,Random,8.5,156.3,0.92,15.1,0.429,1.12,34.5,0
3,6.5,313.8,1.78,23.5,49.1,-118.5,Line,5.8,135.3,4.77,5.8,0.209,1.06,5.1,0
7,9.2,160.9,3.47,6.9,72.3,-109.0,Random,3.2,86.1,0.97,40.5,0.398,0.59,26.2,1
10,2.4,123.2,2.54,29.2,50.7,-105.4,Wedge,1.4,147.0,4.97,39.9,0.346,0.63,28.1,0
34,7.8,4.5,1.03,2.5,21.6,-52.0,Circle,6.6,139.5,1.07,5.0,0.464,0.55,21.9,0
42,6.1,117.7,2.81,2.1,89.2,-80.4,Circle,4.8,70.8,1.27,13.6,0.012,1.45,20.1,1
26,3.5,68.9,2.1,17.9,48.6,-70.9,Circle,9.9,272.0,1.89,23.0,0.104,1.15,12.7,1
49,5.3,306.1,2.01,21.7,16.7,-50.5,Circle,8.0,266.7,2.81,27.5,0.351,1.36,27.6,0
14,4.0,83.3,4.07,28.8,57.6,-89.3,Circle,8.3,230.3,4.06,26.6,0.293,1.04,11.4,1
10,6.2,264.3,2.1,12.1,68.3,-52.6,Line,1.1,126.3,4.87,49.2,0.347,0.69,18.4,0
14,9.0,295.1,0.23,0.8,34.8,-80.2,Random,8.0,117.4,2.11,38.4,0.288,1.13,34.3,0
32,6.1,149.0,0.38,18.1,82.0,-86.1,Wedge,2.8,217.8,0.59,6.5,0.291,1.01,3.6,1
42,6.7,17.5,4.3,8.7,70.3,-90.0,Wedge,6.3,186.4,3.28,15.4,0.466,0.91,21.1,1
12,5.7,18.6,4.81,13.0,68.5,-33.2,Circle,5.0,184.2,3.7,17.9,0.461,0.87,19.4,0
5,1.5,13.2,3.47,14.7,47.9,-50.5,Circle,6.1,46.0,2.29,16.4,0.019,1.15,15.1,0
35,3.1,369.6,1.89,1.9,96.6,-118.2,Circle,2.2,189.3,1.33,39.5,0.207,1.12,23.9,1
39,5.4,159.0,4.7,14.6,34.7,-33.8,Grid,5.1,271.5,1.88,18.7,0.255,0.65,0.6,1
47,3.8,398.2,3.35,12.8,62.0,-50.2,Wedge,1.3,34.9,3.45,25.1,0.179,1.32,19.7,1
5,2.6,215.9,4.24,21.4,37.8,-106.6,Circle,1.4,108.4,2.72,27.1,0.025,1.14,19.4,1
39,5.5,226.5,3.85,19.4,77.0,-113.1,Random,6.9,157.6,3.85,14.3,0.236,1.04,20.6,1
20,3.9,256.4,1.96,5.6,14.3,-92.3,Grid,9.6,208.9,1.48,16.8,0.488,1.25,8.5,0
7,3.3,356.5,2.45,6.2,14.1,-63.8,Line,8.0,36.0,4.29,39.2,0.036,0.65,8.3,0
35,5.2,136.8,1.01,7.5,83.0,-64.5,Grid,5.2,263.1,1.2,43.5,0.408,1.42,25.9,1
19,2.2,60.8,1.53,5.4,49.1,-95.2,Grid,1.5,21.8,1.98,2.8,0.098,0.77,3.7,1
14,9.3,278.0,3.91,19.7,40.7,-79.9,Grid,1.4,258.7,3.16,30.7,0.288,0.76,12.2,1
42,8.8,163.5,4.48,29.8,64.7,-100.9,Random,2.4,18.0,3.82,32.0,0.194,1.31,33.2,1
24,7.4,221.2,3.65,19.6,73.2,-115.4,Wedge,9.8,54.5,1.7,37.1,0.175,0.83,4.2,1
20,2.0,323.5,2.38,18.2,28.1,-73.5,Circle,4.6,242.1,4.77,35.0,0.435,1.33,18.7,0
46,8.0,247.1,0.52,12.3,26.7,-88.8,Random,8.6,259.4,3.68,44.0,0.487,0.83,26.7,1
12,8.3,310.1,0.38,9.4,96.2,-71.1,Random,7.3,294.9,1.48,4.8,0.193,1.05,5.7,1
2,7.9,272.1,1.93,27.3,63.1,-34.8,Circle,6.4,43.6,3.77,20.0,0.32,0.73,12.5,0
25,2.0,369.9,2.37,29.1,45.1,-107.1,Grid,9.5,162.7,3.63,39.3,0.278,1.23,22.4,0
8,6.8,353.0,3.08,14.9,82.1,-119.8,Line,3.1,32.4,3.89,42.5,0.038,0.67,13.1,1
26,8.5,267.1,0.13,8.7,57.3,-113.1,Grid,5.1,55.4,4.62,14.0,0.021,1.4,4.4,1
22,6.2,339.5,4.95,23.1,31.7,-78.4,Grid,8.8,60.6,3.7,29.7,0.387,0.87,9.3,0
16,6.8,436.8,1.88,4.0,28.6,-56.4,Wedge,6.0,28.4,2.08,9.9,0.197,0.97,4.4,0
2,5.1,216.1,4.26,23.0,45.7,-67.7,Grid,3.2,269.0,4.06,42.7,0.154,0.52,39.3,0
13,5.8,206.4,2.72,24.6,87.4,-75.5,Line,2.9,46.6,3.63,36.8,0.493,1.48,9.4,0
8,1.3,382.1,0.74,3.7,15.5,-88.1,Random,7.8,192.5,3.08,11.9,0.043,1.31,21.2,0
16,6.8,291.3,4.01,29.3,29.7,-92.1,Grid,1.1,191.5,2.09,31.6,0.135,0.95,17.1,1
22,1.7,35.5,3.58,29.6,90.4,-86.1,Random,9.2,67.6,4.64,26.0,0.428,1.42,22.8,1
20,4.9,446.1,2.68,28.1,21.0,-65.0,Wedge,1.2,299.5,2.81,13.7,0.207,1.43,19.9,0
30,3.6,15.4,2.62,14.9,66.7,-104.9,Line,6.7,110.7,3.33,44.8,0.292,1.03,29.1,1
26,5.9,374.2,0.53,7.4,29.2,-50.6,Circle,6.4,272.5,2.37,8.2,0.024,0.73,34.9,0
34,2.2,379.4,3.31,17.5,64.5,-68.2,Circle,6.2,285.0,4.01,23.9,0.46,0.99,11.4,0
50,7.2,476.6,4.57,12.6,44.5,-95.8,Wedge,5.3,285.2,2.03,29.6,0.068,0.82,7.3,1
33,8.2,27.1,0.56,6.2,19.2,-74.9,Line,8.7,228.3,4.15,41.4,0.107,0.95,39.4,1
50,2.5,298.4,1.39,12.7,62.4,-33.3,Random,6.9,83.6,0.99,8.4,0.078,1.41,34.6,0
36,1.9,213.9,4.52,19.9,71.5,-118.2,Wedge,8.0,45.0,3.69,30.8,0.249,0.78,14.6,1
45,2.3,165.3,1.49,2.1,71.2,-102.0,Grid,2.0,175.3,2.65,1.3,0.408,1.34,35.8,1
39,8.9,45.2,3.3,10.0,67.3,-79.6,Random,1.4,114.4,3.64,41.3,0.133,1.44,26.8,1
27,5.8,281.3,2.72,0.5,55.0,-62.5,Grid,1.3,251.0,2.89,12.5,0.071,1.31,17.5,1
12,5.2,239.5,3.02,22.5,56.8,-100.9,Grid,2.3,226.0,1.1,36.3,0.205,1.03,34.9,0
36,2.0,52.3,2.14,19.2,67.2,-36.2,Random,7.0,90.2,2.65,30.5,0.491,1.06,27.0,0
9,6.8,306.2,1.57,1.9,72.1,-62.2,Grid,5.4,14.9,4.84,3.5,0.006,1.32,33.1,0
47,8.8,369.0,0.34,28.9,68.9,-41.0,Circle,7.8,78.8,3.9,10.0,0.252,0.54,16.7,0
15,8.5,383.6,3.75,0.7,62.8,-90.4,Random,2.7,174.5,1.85,14.1,0.335,1.24,31.9,1
11,6.6,452.7,3.76,17.7,24.0,-45.4,Wedge,4.3,32.9,4.75,44.4,0.403,1.03,14.7,0
3,1.7,204.7,3.39,23.3,29.0,-86.0,Circle,9.0,200.9,4.01,24.6,0.373,0.9,29.4,0
47,2.0,476.5,3.25,23.6,33.4,-97.3,Wedge,9.4,204.8,2.14,45.8,0.037,1.27,17.4,1
10,1.4,432.7,1.29,1.0,92.8,-38.0,Line,9.3,59.1,3.22,3.3,0.231,0.77,16.2,0
4,3.3,148.3,0.21,27.2,78.3,-111.7,Wedge,8.4,182.9,2.42,1.3,0.039,1.4,31.9,0
22,2.2,79.6,4.06,27.6,59.8,-35.1,Random,7.2,186.0,0.94,47.5,0.31,1.19,5.0,1
27,3.3,217.7,2.51,16.8,32.7,-78.7,Wedge,9.2,148.6,4.13,36.5,0.039,1.11,37.1,0
9,4.5,200.9,1.6,14.5,20.0,-30.7,Line,7.4,286.4,1.36,39.4,0.024,1.02,20.3,0
49,9.5,287.9,0.6,1.3,90.9,-71.4,Grid,9.6,41.4,2.56,45.9,0.153,0.71,25.4,1
3,6.5,291.7,0.41,16.9,90.3,-51.8,Random,1.2,127.9,3.66,49.2,0.469,1.12,16.2,0
7,8.5,375.0,1.81,12.3,20.0,-119.4,Circle,9.3,266.0,4.69,5.8,0.355,1.22,25.8,0
29,7.4,254.9,4.04,23.2,81.7,-75.3,Circle,6.0,122.0,0.78,8.8,0.002,0.51,28.4,0
30,2.0,52.4,4.6,12.1,50.2,-53.6,Wedge,2.0,133.1,2.27,10.2,0.142,0.87,34.7,0
27,7.6,429.1,4.49,20.5,39.2,-49.5,Circle,2.9,203.8,3.27,41.1,0.009,1.33,34.2,1
26,3.5,154.9,4.61,3.0,76.5,-105.8,Line,8.7,203.0,4.01,18.4,0.147,1.13,14.3,1
13,6.8,485.6,4.55,4.0,65.3,-82.3,Circle,5.6,16.6,4.64,30.1,0.343,1.12,24.6,0
6,4.1,58.9,2.68,4.2,80.2,-82.3,Wedge,9.8,142.2,0.5,42.9,0.38,0.73,31.2,0
35,10.0,479.1,1.18,1.4,16.7,-110.7,Circle,2.1,106.7,3.32,34.5,0.402,1.13,30.6,0
49,3.4,45.5,4.01,16.2,38.7,-80.1,Grid,4.7,192.0,0.53,4.2,0.455,1.29,35.6,0
38,3.5,115.5,1.15,23.8,38.7,-47.4,Grid,4.0,171.2,4.04,22.8,0.183,0.9,33.3,0
16,9.4,23.3,1.41,18.3,39.7,-93.0,Circle,5.6,198.7,1.17,4.3,0.431,0.68,28.7,0
45,1.2,352.6,1.24,17.2,55.2,-81.1,Random,6.7,199.6,4.53,24.5,0.364,0.58,30.0,0
37,7.3,425.1,2.62,20.4,35.5,-33.5,Circle,7.0,83.9,1.2,11.7,0.269,1.01,32.3,0
16,7.5,217.0,1.68,10.2,50.0,-117.1,Grid,1.0,81.5,3.94,1.1,0.477,1.18,33.5,0
44,8.5,464.3,0.86,10.9,43.1,-66.8,Grid,1.8,117.4,1.8,40.8,0.474,0.66,14.1,0
49,9.8,295.1,2.32,9.4,76.2,-53.1,Line,1.3,80.2,3.01,48.5,0.449,0.92,31.3,1
24,9.8,315.0,4.38,21.4,64.3,-51.5,Wedge,8.8,208.0,3.24,48.2,0.101,1.07,38.0,1
7,1.6,422.7,2.9,4.8,68.8,-55.6,Line,3.8,184.8,1.43,15.7,0.104,0.66,9.3,0
47,8.4,148.4,4.4,0.4,29.0,-54.6,Random,4.3,72.8,1.84,41.6,0.451,0.77,1.9,1
45,6.8,177.1,1.06,17.9,39.3,-114.7,Wedge,5.1,266.4,0.98,34.3,0.199,1.11,2.9,1
44,6.8,453.0,0.92,28.3,11.9,-71.9,Circle,8.6,143.6,0.52,40.2,0.399,1.23,8.7,0
46,2.2,450.5,2.92,18.3,19.8,-49.5,Circle,1.1,46.8,1.58,42.5,0.343,1.14,36.8,0
22,6.9,488.2,2.37,23.5,33.9,-111.5,Random,2.1,71.8,2.82,49.0,0.381,1.21,5.1,1
24,9.8,450.9,3.33,20.2,15.9,-118.9,Grid,7.2,166.6,3.71,8.4,0.013,1.08,29.9,0
44,9.2,63.7,3.99,14.9,64.2,-46.7,Circle,9.7,108.1,4.07,38.7,0.215,1.34,34.7,1
17,5.0,411.9,3.78,21.6,99.8,-55.9,Line,6.8,256.9,0.81,37.0,0.429,1.33,35.1,0
48,1.4,204.9,4.72,24.7,19.1,-82.9,Grid,3.4,153.5,1.73,15.1,0.245,1.3,16.7,1
16,4.3,495.4,2.05,6.7,83.9,-35.4,Circle,5.7,275.4,3.97,20.2,0.345,1.08,19.8,0
26,8.4,236.1,1.11,10.1,20.7,-51.0,Grid,9.8,39.5,2.66,9.7,0.378,1.49,12.9,0
37,7.3,276.9,2.8,6.7,70.3,-32.9,Wedge,5.8,203.9,1.32,45.8,0.06,0.54,5.9,1
12,5.1,264.9,0.64,13.6,67.9,-36.4,Circle,4.4,266.9,2.26,44.1,0.078,0.7,8.5,1
16,1.5,160.9,1.52,26.6,91.2,-76.7,Circle,4.5,94.9,1.72,31.1,0.362,1.31,5.4,0
5,4.8,37.5,1.12,10.4,20.3,-52.1,Grid,9.7,49.3,0.73,26.1,0.027,1.33,16.3,0
22,5.2,447.8,2.04,11.2,38.4,-59.8,Wedge,7.5,142.4,3.94,12.4,0.171,1.32,6.8,0
14,9.4,401.3,0.64,25.8,18.2,-47.0,Line,7.2,288.8,1.81,39.7,0.459,1.37,16.1,0
23,6.8,69.8,0.26,15.5,46.7,-49.1,Wedge,3.1,193.7,4.75,1.4,0.287,0.92,34.0,0
20,3.8,388.4,3.32,16.1,92.0,-106.2,Line,6.0,196.8,4.5,23.7,0.455,1.43,26.2,0
35,5.7,312.9,3.09,25.8,80.3,-99.0,Random,4.2,204.7,3.72,43.2,0.155,0.71,26.5,1
15,1.6,204.6,3.57,14.7,75.1,-96.1,Wedge,3.2,21.5,1.97,31.3,0.318,1.44,32.5,0
5,9.8,127.0,3.34,20.4,58.0,-46.3,Line,9.1,139.2,1.76,32.1,0.143,1.06,1.6,0
49,4.2,429.9,0.66,2.6,89.5,-47.0,Grid,4.4,32.5,2.64,4.5,0.056,0.66,31.8,0
47,5.3,350.1,1.53,5.4,50.4,-75.4,Line,3.5,101.6,2.1,15.0,0.495,1.24,7.9,0
28,4.2,273.9,0.73,12.1,23.5,-67.7,Random,9.4,248.3,4.56,34.0,0.088,0.8,13.8,1
30,7.1,304.8,4.23,14.8,85.4,-45.6,Line,2.8,200.3,1.06,3.4,0.094,0.72,12.3,1
48,7.0,45.5,3.76,29.0,35.2,-91.9,Wedge,7.7,298.7,3.76,17.2,0.421,0.67,4.2,1
29,7.4,237.0,1.09,29.1,14.8,-115.5,Line,6.9,59.9,3.25,18.3,0.401,0.53,6.9,0
36,3.4,96.9,1.77,25.5,21.3,-76.6,Wedge,9.3,125.1,4.13,25.4,0.489,1.26,38.3,0
9,3.8,104.2,4.84,9.5,64.8,-37.8,Random,8.5,244.8,2.94,18.8,0.036,0.99,24.0,1
17,2.1,330.7,3.01,28.9,64.6,-48.9,Line,7.3,72.6,3.33,23.3,0.047,1.48,19.0,0
43,6.9,455.6,4.03,20.7,33.4,-87.0,Line,3.8,54.6,4.83,27.8,0.224,0.94,30.3,0
37,1.4,201.9,1.4,11.8,75.4,-114.2,Random,5.5,134.0,0.91,7.3,0.296,1.34,32.5,0
31,6.4,103.9,1.13,21.1,79.6,-62.7,Line,9.5,121.3,0.97,9.8,0.019,1.47,4.4,1
19,8.8,324.4,3.94,0.5,92.8,-44.9,Wedge,1.2,294.3,2.27,41.8,0.079,0.52,29.6,1
3,9.0,435.6,3.46,4.4,62.6,-60.2,Circle,8.1,142.3,2.63,23.5,0.352,0.61,37.3,0
50,5.0,374.2,3.44,24.9,80.1,-81.7,Circle,3.3,259.7,1.4,18.4,0.334,0.85,23.4,0
14,5.1,434.4,2.81,19.4,77.8,-108.9,Wedge,2.7,267.5,0.87,22.3,0.045,1.37,24.6,0
5,1.7,268.3,2.86,10.9,33.2,-38.0,Line,3.1,55.8,0.6,9.6,0.466,1.34,34.8,0
27,7.0,375.9,3.7,15.0,37.9,-95.2,Wedge,1.5,217.4,3.94,12.8,0.127,0.87,27.2,1
26,8.4,70.0,1.42,27.2,53.1,-99.8,Random,9.9,90.5,2.68,26.3,0.444,0.7,39.8,0
31,3.2,174.1,1.83,18.9,11.7,-46.6,Wedge,8.8,37.5,4.3,18.6,0.461,1.3,11.3,0
12,4.8,194.8,4.37,11.9,36.8,-31.7,Circle,5.7,263.7,2.12,24.3,0.245,1.1,33.8,0
8,8.5,255.6,1.61,3.6,52.6,-60.6,Grid,7.4,94.8,3.67,8.3,0.206,0.53,24.5,0
32,8.9,464.5,2.78,8.8,19.7,-63.8,Random,6.0,110.2,2.7,8.7,0.139,1.3,14.6,0
45,3.2,437.1,3.54,29.4,21.4,-91.3,Line,8.3,104.0,3.25,19.8,0.404,1.46,35.3,0
11,6.0,67.3,5.0,13.1,51.7,-118.2,Wedge,8.6,68.1,2.17,19.6,0.098,0.54,39.8,0
40,2.7,86.4,2.23,14.2,75.8,-102.7,Random,3.1,136.0,0.87,44.3,0.311,0.79,2.3,1
14,1.9,178.8,2.2,15.0,85.0,-67.4,Circle,5.1,134.2,4.76,2.6,0.284,1.32,37.0,0
32,9.2,145.4,4.23,26.5,59.2,-106.4,Line,6.7,128.5,4.26,49.6,0.124,1.08,8.1,1
8,8.4,307.4,4.05,18.1,52.7,-40.5,Wedge,9.8,275.7,1.9,47.9,0.492,1.49,8.2,0
50,7.8,451.4,3.68,20.8,44.6,-103.1,Wedge,7.1,108.5,4.81,27.6,0.423,1.42,1.7,1
43,1.4,481.1,2.37,11.7,27.4,-73.0,Line,9.1,18.8,1.85,36.2,0.01,0.68,36.9,0
43,8.6,326.8,1.69,0.9,23.2,-73.9,Grid,8.6,61.7,2.49,46.8,0.211,1.17,30.4,1
37,4.9,419.1,3.08,27.9,81.3,-65.6,Grid,6.2,219.2,3.9,13.3,0.179,1.15,2.1,1
21,4.1,262.6,4.39,28.5,51.9,-90.5,Random,9.0,181.3,1.89,16.5,0.441,0.61,25.3,0
5,5.9,104.2,4.43,28.5,81.1,-41.4,Wedge,4.4,286.0,1.96,6.4,0.132,0.59,4.8,0
8,1.8,262.3,0.63,28.3,73.4,-80.0,Random,4.4,211.4,2.35,28.6,0.499,1.07,30.1,0
2,7.8,277.5,2.2,24.5,27.5,-57.0,Line,8.0,66.3,2.61,8.8,0.1,0.9,16.4,0
45,6.2,371.2,2.38,20.5,55.9,-62.8,Random,2.2,45.0,1.06,46.6,0.122,1.05,2.1,1
46,2.7,109.9,4.89,25.3,50.0,-109.5,Wedge,3.8,161.0,0.58,22.1,0.333,0.74,33.2,0
43,2.7,184.2,3.42,18.0,48.1,-64.0,Grid,6.5,202.9,4.64,46.1,0.081,1.06,22.9,1
48,2.7,182.0,2.1,4.0,58.8,-70.4,Grid,4.8,58.0,2.09,11.0,0.444,0.88,30.9,0
14,1.5,479.7,0.23,11.7,98.4,-39.1,Line,9.5,184.5,0.96,35.0,0.055,1.39,27.0,0
23,6.3,222.0,2.87,29.1,83.2,-40.7,Circle,9.6,260.9,3.92,32.7,0.492,0.81,17.4,0
22,8.6,377.5,0.57,10.5,91.3,-106.4,Random,5.5,221.0,1.83,20.6,0.437,1.37,27.9,0
23,1.2,375.4,4.19,26.0,12.7,-112.6,Line,5.9,202.6,1.32,45.0,0.42,0.89,0.6,0
29,1.4,132.8,3.79,2.8,22.6,-93.5,Grid,7.5,238.9,4.83,22.3,0.204,1.08,13.6,1
10,6.2,285.9,2.36,10.0,17.6,-31.2,Wedge,5.1,40.2,4.64,10.7,0.257,0.79,31.1,0
27,8.4,447.2,2.2,10.5,33.7,-118.1,Wedge,2.7,69.1,0.98,48.9,0.228,1.31,30.5,0
10,3.9,237.6,4.5,1.5,49.8,-59.4,Circle,7.7,21.0,4.55,22.6,0.494,1.34,35.5,0
16,4.1,472.6,1.51,3.6,67.8,-65.2,Circle,7.6,52.0,4.51,11.2,0.017,1.31,24.4,0
11,6.4,107.2,1.32,5.8,55.1,-61.8,Grid,3.2,274.8,3.35,18.8,0.191,1.14,37.7,1
25,3.5,37.1,4.7,25.1,91.3,-100.4,Circle,8.5,74.4,2.88,31.1,0.484,0.8,22.3,1
43,1.2,445.7,4.07,1.9,94.6,-99.6,Circle,6.5,202.0,1.48,26.1,0.185,1.14,20.0,1
9,7.6,423.8,4.12,9.0,24.7,-81.2,Wedge,3.1,210.6,1.05,32.1,0.199,1.46,7.9,1
25,6.6,496.3,1.06,0.3,86.8,-111.4,Random,6.9,197.1,3.23,33.4,0.316,1.15,31.2,1
17,6.2,339.7,0.8,20.9,53.4,-113.3,Wedge,3.1,170.6,4.2,7.0,0.454,1.46,27.7,0
50,7.7,468.3,0.23,18.6,50.8,-112.0,Wedge,3.4,151.0,3.6,16.4,0.147,0.8,18.4,1
27,7.1,413.5,1.26,19.3,80.6,-68.4,Grid,8.6,131.8,1.31,37.7,0.474,1.35,3.5,0
28,2.9,422.2,3.89,11.2,18.4,-84.2,Grid,9.4,275.9,1.81,32.9,0.141,1.22,5.0,1
38,4.2,284.6,1.28,6.2,89.4,-93.6,Random,3.3,12.8,2.96,5.3,0.408,1.32,4.6,1
5,2.1,191.2,3.67,21.6,70.4,-91.6,Line,9.4,25.5,3.31,16.4,0.138,1.21,15.0,0
25,2.2,467.3,1.33,24.3,88.8,-101.3,Circle,3.1,152.8,0.83,46.6,0.036,0.98,6.4,1
20,7.1,216.1,2.04,4.2,99.5,-83.0,Circle,2.1,105.8,3.26,43.2,0.406,1.19,34.4,1
37,8.7,269.4,4.92,14.6,56.6,-101.7,Wedge,1.5,128.4,3.81,33.9,0.225,1.43,36.0,1
40,9.7,223.1,1.3,7.5,18.4,-57.2,Wedge,3.2,299.4,1.32,4.6,0.195,0.92,34.3,0
